latitude,longitude,altitude,geometry,name,address1,address2,city,state,zip
41.666617,-70.156674,,Point,A TOUCH OF GLASS,711 MAIN STREET,,WEST DENNIS,MA,2670
41.561926,-72.650111,,Point,MALLOVES,404 MAIN ST.,,MIDDLETOWN,CT,6457
41.377891,-71.830599,,Point,WESTERLY JEWELRY CO.,8 HIGH STREET,,WESTERLY,RI,2891
41.66753,-70.077652,,Point,SATIVA,517 ROUTE 28,,HARWICH PORT,MA,2646
41.310541,-71.857376,,Point,PERFECT PINEAPPLE,60 BAY STREET,,WATCH HILL,RI,2891
42.055501,-72.554481,,Point,MICHAEL SZWED JEWELERS,807 WILLIAMS ST.,,LONGMEADOW,MA,1106
42.465224,-73.203363,,Point,M. EDWARD JEWELERS,660 MERRILL ROAD,,PITTSFIELD,MA,1201
42.304623,-73.249095,,Point,ZABIAN JEWELERS,15 MAIN STREET,,LEE,MA,1238
43.204967,-71.535564,,Point,CAPITOL CRAFTSMAN,16 NORTH MAIN ST.,,CONCORD,NH,3301
41.968967,-72.79602,,Point,OLD MILL POND VILLAGE,383 SALMON BROOK ST,,GRANBY,CT,6035
43.238285,-70.593724,,Point,THE WHISTLING OYSTER,116-2 PERKINS COVE ROAD,,OGUNQUIT,ME,3907
42.063565,-71.248972,,Point,CINDI'S DIAMOND & JEWELRY,40 CENTRAL ST.,,FOXBORO,MA,2035
42.260645,-72.241764,,Point,DIOGUARDI JEWELERS,95 MAIN STREET,,WARE,MA,1082
42.207097,-71.152403,,Point,DOLABANY JEWELERS,145 UNIVERSITY AVENUE,,WESTWOOD,MA,2090
41.902642,-71.092851,,Point,PACHECOS GOLD & GEMS,22 TAUNTON GREEN,,TAUNTON,MA,2780
42.70385,-71.440233,,Point,BARMAKIAN FILS,300 DANIEL WEBSTER HWY,,NASHUA,NH,3060
42.28526,-71.806266,,Point,SHARFMANS,19 GLENNIE ST. SUITE B,,WORCESTER,MA,1605
42.118725,-76.018476,,Point,CONTI JEWELERS,532 HOOPER ROAD,,ENDWELL,NY,13760
42.19034,-72.577024,,Point,FURNARI JEWELERS,1189 MEMORIAL DRIVE,,CHICOPEE,MA,1020
42.885177,-73.773517,,Point,WIT'S END GIFTIQUE,PARKWOOD PLAZA  RTE 9,,CLIFTON PARK,NY,12065
41.741905,-71.437734,,Point,BAXTER'S FINE JEWELRY,200 JEFFERSON BLVD.,,WARWICK,RI,2888
42.50576,-71.132783,,Point,COOPER JEWELERS INC.,300 MISHAWUM ROAD,,WOBURN,MA,1801
42.058333,-71.066955,,Point,ROMM & CO,1280 BELMONT STREET,,BROCKTON,MA,2301
42.711127,-73.20429,,Point,AMYS COTTAGE OF WILLIAMSTOWN,39 SPRING STREET,,WILLIAMSTOWN,MA,1267
42.062847,-72.513517,,Point,SAYEGH JEWELERS,60 SHAKER ROAD,,EAST LONGMEADOW,MA,1028
42.450616,-73.253776,,Point,R J STOHR DIAMOND & FINE JEWELRY,137 NORTH STREET,,PITTSFIELD,MA,1201
41.541329,-73.000819,,Point,MARIES JEWELRY,2444 E MAIN STREET,,WATERBURY,CT,6705
42.16763,-72.641357,,Point,SHIRIN JEWELERS,50 HOLYOKE STREET #G304,,HOLYOKE,MA,1040
41.598275,-71.250618,,Point,THE PORTSMOUTH SHOP,2511 EAST MAIN ROAD,,PORTSMOUTH,RI,2871
41.987688,-70.712735,,Point,ECO CHIC BOUTIQUE,117 MAIN STREET,,KINGSTON,MA,2364
41.962431,-70.669219,,Point,ECO CHIC BOUTIQUE,170 WATER STREET,,PLYMOUTH,MA,2360
41.819022,-71.376444,,Point,GOLD AND CARAT EXCHANGE,17 GROVE AVENUE  #14137,,EAST PROVIDENCE,RI,2914
41.649571,-70.290615,,Point,BUMBALINA,606 MAIN STREET,,HYANNIS,MA,2601
42.81088,-70.869624,,Point,KEEPSAKES,1 STATE STREET,,NEWBURYPORT,MA,1950
41.760177,-72.74412,,Point,LUX BOND & GREEN,46 Lasalle Rd,,WEST HARTFORD,CT,6107
41.143216,-73.361358,,Point,LUX BOND & GREEN,136 MAIN STREET,,WESTPORT,CT,6880
42.351262,-71.072467,,Point,LUX BOND & GREEN,416 BOYLESTON STREET,,BOSTON,MA,2116
42.295982,-71.296191,,Point,LUX BOND & GREEN,60 CENTRAL STREET,,WELLESLEY,MA,2482
42.178135,-71.206163,,Point,KEEGAN'S JEWELERS,1135 WASHINGTON STREET,,NORWOOD,MA,2062
41.559381,-70.597048,,Point,KEEGAN'S JEWELERS,205 WORCESTER CT.,,FALMOUTH,MA,2540
41.997692,-72.579462,,Point,HANNOUSH JEWELERS,118 ELM STREET,,ENFIELD,CT,6082
41.389834,-70.513775,,Point,CLAUDIA,51 MAIN STREET,,EDGARTOWN,MA,2539
41.753561,-72.875339,,Point,FARMINGTON JEWELERS,1680 FARMINGTON AVE.,,UNIONVILLE,CT,6085
41.962431,-70.669219,,Point,DAISY RILEY CLOTHING & ACCESSORIES,170 WATER STREET,,PLYMOUTH,MA,2360
42.112002,-72.72323,,Point,RICHARD'S JEWELERS,461 EAST MAIN ST.,,WESTFIELD,MA,1085
42.965705,-70.834246,,Point,QUICKSILVER FINE JEWELRY,29 LAFAYETTE ROAD,,NORTH HAMPTON,NH,3862
42.356227,-71.059815,,Point,ALFRED F. DESCENZA & SON,387 WASHINGTON STREET,,BOSTON,MA,2108
